"13D","18-19","6","Fencing related work","174278.85","Fencing","No Issue","",""
"13D","18-19","7","Rainwater road fencing related work","179419.97","Fencing","No Issue","",""
"13D","18-19","8","Road related work (Cat size)","98727.55","Traffic","Resolved","Didn't completely understand the entry","Looks okay- Tanmay"
"13D","18-19","9","Picking up radar waste","197844.75","Cleaning","No Issue","",""
"13D","18-19","10","Bachat gat","200000","BachatGat","No Issue","",""
"31A","18-19","1","Distribution of bags","200000","Bags","No Issue","",""
"31A","18-19","2","Distribution of bags","200000","Bags","No Issue","",""
"31A","18-19","3","Municipality office related work","196806.76","Buildings","No Issue","",""
"31A","18-19","4","Distribution of Yoga mats","198949","Gym","No Issue","",""
"31A","18-19","5","Drainage related work","185285.41","Drainage","No Issue","",""
"31A","18-19","6","Supplying computers","200000","Computers","No Issue","",""
"31A","18-19","7","Distribution of machinery","100000","Cleaning","Resolved","Code -???","Not clear. Keep it in Development work- Tanmay"
"31B","18-19","1","Machinery like xerox etc related","111110","Development work","Resolved","code- ???","Not clear. Keep it in Development work- Tanmay"
"31B","18-19","2","Relief funds for flood affected people","100000","Help / Fund / Relief Work","No Issue","",""
"31B","18-19","3","Electricity related work","131721.98","Electrification","No Issue","",""
"31B","18-19","4","Repairing of toilets","136922.36","Toilet","No Issue","",""
"31B","18-19","5","Distribution of bags","200000","Bags","No Issue","",""
"31B","18-19","6","Distribution of bags","200000","Bags","No Issue","",""
"31C","18-19","1","Dsitribution of buckets","200000","Dustbin/Buckets","No Issue","",""
"31C","18-19","2","Distribution of bags","200000","Bags","No Issue","",""
"31C","18-19","3","Distribution of bags","200000","Bags","No Issue","",""
"31D","18-19","1","Distribution of bags","200000","Bags","No Issue","",""
"31D","18-19","2","Distribution of bags","200000","Bags","No Issue","",""
"31D","18-19","3","Distribution of bags","200000","Bags","No Issue","",""
"31D","18-19","4","Distribution of bags","200000","Bags","No Issue","",""
"31D","18-19","5","Drainage related work","179457.23","Drainage","No Issue","",""
"31D","18-19","6","Distribution of buckets","200000","Dustbin/Buckets","No Issue","",""
"31D","18-19","7","Distribution of machinery","200000","Development work","Resolved","Code - ??","Not clear. Keep it in Development work- Tanmay"
"31D","18-19","8","Tree plantation material procurement","200000","Trees","No Issue","",""
"32A","18-19","1","Distribution of bags","178550","Bags","No Issue","",""
"32A","18-19","2","Distribution of buckets","199987.2","Dustbin/Buckets","No Issue","",""
