"25B","19-20","2","jute bags ","100000","Bags","","",""
"25B","19-20","3","jute bags ","200000","Bags","","",""
"25B","19-20","4","sign boards","197615.29","Nameplates","","",""
"25B","19-20","5","sign boards","197619.92","Nameplates","","",""
"25B","19-20","6","concritization ","198954.03","Concretization","","",""
"25B","19-20","7","concritization ","198954.03","Concretization","","",""
"25B","19-20","8","concritization ","99792.52","Concretization","","",""
"25B","19-20","9","sign boards","195094.62","Nameplates","","",""
"25C","19-20","1","road related work","169646.4","Road","","",""
"25C","19-20","2","ground development","190177.83","Development work","Resolved","probably this goes under development work but not sure ",""
"25C","19-20","3","ground development","190177.83","Development work","Resolved","",""
"25C","19-20","4","concritization ","195881.84","Concretization","","",""
"25C","19-20","5","dambarikaran","195863.25","Concretization","","",""
"25D","19-20","1","ground development","190177.83","Garden","Resolved","","Garden code includes playground- Tanmay"
"25D","19-20","2","ground development","190177.83","Garden","Resolved","","Garden code includes playground- Tanmay"
"25D","19-20","3","temple area concritization","194999.2","Road","","",""
"25D","19-20","4","concritization ","195670","Road","","",""
"27A","19-20","1","kapadi bags ","200000","Bags","","",""
"27A","19-20","2","kapadi bags ","200000","Bags","","",""
"27A","19-20","3","sign boards","198216.94","Nameplates","","signboards and nameplates should be different codes",""
"27A","19-20","4","sign boards","198216.94","Nameplates","","",""
"27A","19-20","5","sign boards","199614.24","Nameplates","","",""
"27A","19-20","6","roshnai and related work ","185802.72","Electrification","","",""
"27B","19-20","1","kapadi bags ","200000","Bags","","",""
"27B","19-20","2","kapadi bags ","200000","Bags","","",""
"27B","19-20","3","cleaning","197533.39","Cleaning","","",""
"27B","19-20","4","sign boards","199534.39","Nameplates","","",""
"27B","19-20","5","sign boards","199614.24","Nameplates","","",""
"27B","19-20","6","sign boards","199534.39","Nameplates","","",""
"27C","19-20","1","drainage related","177614.14","Drainage","","",""
"27C","19-20","2","cleaning ","176451.18","Cleaning","","",""
"27C","19-20","3","drainage work ","178394.73","Drainage","","",""
"27C","19-20","4","cleaning","178082.15","Cleaning","","",""
"27C","19-20","5","sign boards","69804.14","Nameplates","","",""
"27C","19-20","6","cleaning ","85866.38","Cleaning","","",""
"27C","19-20","7","kapadi bags ","200000","Bags","","",""
"27C","19-20","8","kapadi bags ","200000","Bags","","",""
"27D","19-20","1","speaker system and other electric work ","188954.9","Electrification","","",""
"27D","19-20","2","gym repair work ","65552.25","Gym","","",""
"27D","19-20","3","cleaning ","197692.39","Cleaning","","",""
"27D","19-20","4","kapdi bags ","200000","Bags","","",""
"27D","19-20","5","kapdi bags ","200000","Bags","","",""
"24A","20-21","1","kapdi face masks ","198243.33","Help / Fund / Relief Work","","",""
