"2D","18-19","5","Jute bags ","200000","Bags","","",""
"2D","18-19","6","Gym equipments","174698.59","Gym","","",""
"2D","18-19","7","Gym equipments","200000","Gym","","",""
"2D","18-19","8","Gym equipments","200000","Gym","","",""
"2D","18-19","9","benches","200000","Benches","","",""
"2D","18-19","10","Bags","200000","Bags","","",""
"6A","18-19","1","Jute bags ","200000","Bags","","",""
"6A","18-19","2","Jute bags ","200000","Bags","","",""
"6A","18-19","3","Drainage works","161676.48","Drainage","","",""
"6A","18-19","4","Toilet repairs","163724.9","Toilet","","",""
"6A","18-19","5","Toilet repairs","155629.7","Toilet","","",""
"6A","18-19","6","Toilet repairs","163883.77","Toilet","","",""
"6A","18-19","7","Toilet repairs","157654.86","Toilet","","",""
"6A","18-19","8","Rada Roda cleaning work","159684.03","Cleaning","","",""
"6A","18-19","9","Furniture works","87245.2","Furniture","","",""
"6B","18-19","1","Jute bags ","200000","Bags","","",""
"6B","18-19","2","Jute bags ","200000","Bags","","",""
"6B","18-19","3","Jute bags ","200000","Bags","","",""
"6B","18-19","4","Jute bags ","200000","Bags","","",""
"6B","18-19","5","Jute bags ","200000","Bags","","",""
"6B","18-19","6","Drainage works","196799.53","Drainage","","",""
"6B","18-19","7","Samaj Mandir repairs","197110.93","Buildings","","",""
"6B","18-19","8","Nameplates","196559.52","Nameplates","","",""
"6B","18-19","9","Drainage works","157664.83","Drainage","","",""
"6B","18-19","10","Drainage works","200000","Drainage","","",""
"6C","18-19","1","Jute bags ","200000","Bags","","",""
"6C","18-19","2","Jute bags ","200000","Bags","","",""
"6C","18-19","3","Colouring slogans","196934.08","Decoration","","",""
"6C","18-19","4","Water pipeline","189173.61","Water supply","","",""
"6C","18-19","5","Drainage works","196698.56","Drainage","","",""
"6C","18-19","6","Concretization work","199181.76","Concretization","","",""
"6C","18-19","7","benches","199090.23","Benches","","",""
"6C","18-19","8","Coloring works","125584.58","Colouring","","",""
"6C","18-19","8","Drainage works","105458.83","Drainage","","",""
"6D","18-19","1","Electrical works","169385.45","Electrification","","",""
"6D","18-19","2","Electrical works","175471.57","Electrification","","",""
"6D","18-19","3","Electrical works","165517.6","Electrification","","",""
"6D","18-19","4","Computers","200000","Computers","","",""
"6D","18-19","5","Computers","99633.32","Computers","","",""
"1A","19-20","1","Rada Roda cleaning work","149383.66","Cleaning","","",""
"1A","19-20","2","Colouring slogans","135588","Decoration","","",""
"1A","19-20","3","benches","163093.15","Benches","","",""
"1A","19-20","4","benches","74133.25","Benches","","",""
"1A","19-20","5","Nameplates","164763.07","Nameplates","","",""
"1A","19-20","6","Decoration works","200000","Decoration","","",""
"1A","19-20","7","Decoration works","200000","Decoration","","",""
"1A","19-20","8","Buckets for waste disposal","200000","Waste disposal","","",""
"1A","19-20","9","Dhakal gadi","200000","Waste disposal","","",""
"1B","19-20","1","Electrical works","137016.96","Electrification","","",""
"1B","19-20","2","Electrical works","136783.93","Electrification","","",""
"1B","19-20","3","Maintenance and repair works","200000","Maintenance","","",""
