"SINHGAD ROAD","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"33C","17-18","7","fixing of directional bords at various places at Vadgaon Dhyari","149865","Nameplates","Resolved","final cost is not mentioned",""
"33C","17-18","8","applying of thermoplastic paint & cat eye","138801.4","Traffic","Resolved","where it should be corporated",""
"33C","17-18","9","Cleaning ","200000","Cleaning","","",""
"","","","","","","","",""
"33D","17-18","1","Repair work of roofing sheet & other repair work of classroom of Pokale School ","160842.62","Buildings","Resolved","where it should be corporated",""
"33D","17-18","2","painting work of class rooms at Pokale school","135603.05","Colouring","Resolved","final cost is not mentioned",""
"33D","17-18","3","repair work of chambers ","151817.82","Drainage","","",""
"33D","17-18","4","Various work related to Drainage works","146592.28","Drainage","Resolved","final cost is not mentioned",""
"33D","17-18","5","fixing of steel benches","150446.47","Benches","","",""
"33D","17-18","6","purches of cloth bags","200000","Bags","","",""
"33D","17-18","7","Various work related to Drainage works at dalviwadi, Dhyari","143148.18","Drainage","","",""
"33D","17-18","8","Drainage work ","200000","Drainage","","",""
"33D","17-18","9","Various repairwork at Dhyari crematorium","135042.28","Cemetory / Crematorium","","",""
"33D","17-18","10","Varipus Development work Pokale school","153880.85","Buildings","","",""
"33D","17-18","11","repairwork of toilets at Dhyari crematorium","141328.41","Toilet","","",""
"","","","","","","","",""
"34A","17-18","1","Computers ","200000","Computers","","",""
"34A","17-18","2","fixing of steel benches at Tukainagar & Mahadevnagar","159281.09","Benches","","",""
"34A","17-18","3","fixing of steel benches at Sun city","158890.83","Benches","","",""
"34A","17-18","4","fixing of steel benches at hingane khurd & Aanandnagar area","158518.18","Benches","","",""
"34A","17-18","5","fixing of steel benches at hingane , manikbaug  & Aanandnagar area","157772.87","Benches","","",""
"34A","17-18","6","Buckets ","200000","Dustbin/Buckets","","",""
"34A","17-18","7","Buckets ","200000","Dustbin/Buckets","","",""
"34A","17-18","8","Buckets ","200000","Dustbin/Buckets","","",""
"34A","17-18","9","Buckets ","200000","Dustbin/Buckets","","",""
"34A","17-18","10","fixing of Chainlink Fencing & jali at various places ","137172.52","Fencing","","",""
"34A","17-18","11","fixing of Chainlink Fencing & jali at various places ","153379.58","Fencing","","",""
"","","","","","","","",""
"34B","17-18","1","Buckets ","200000","Dustbin/Buckets","","",""
"34B","17-18","2","fixing of steel benches at various places","164390.2","Benches","","",""
"34B","17-18","3","buckets ","200000","Dustbin/Buckets","","",""
"34B","17-18","4","fixing of steel benches at various places","164013.32","Benches","","",""
"34B","17-18","5","fixing of steel benches at various places","138947.21","Benches","","",""
"34B","17-18","6","removal of debaries ","139167.2","Cleaning","","",""
"34B","17-18","7","repair work of chembers ","95426.44","Drainage","","",""
"34B","17-18","8","repair work of chembers ","151747.72","Drainage","","",""
"34B","17-18","9","Supply of jute bags","200000","Bags","","",""
"","","","","","","","",""
"","","","","","","","",""
"34C","17-18","1","various repairwork at Mahatma Fule Sabhagruha","185783.51","Development work","","",""
"34C","17-18","2","various repairwork at Mahatma Fule Sabhagruha","186131.15","Development work","Resolved","final cost is not mentioned",""
"34C","17-18","3","various furniture work at corporation school no 168b","164278.35","Furniture","Resolved","final cost is not mentioned",""
"34C","17-18","4","various furniture work atJagtap school","148210.09","Furniture","Resolved","final cost is not mentioned",""
"34C","17-18","5","distribution of cloth bags","200000","Bags","","",""
"34C","17-18","6","concreting of side patta at various places ","159971.1","Concretization","","",""
"34C","17-18","7","various work related to electrification","183621.85","Electrification","","",""
"34C","17-18","8","Electrification ","200000","Electrification","","",""
"34C","17-18","9","Electrification ","200000","Electrification","","",""
"34D","17-18","1","fixing of steel benches at Sun city","148912.28","Benches","","",""
"34D","17-18","2","fixing of steel benches at Sun city","157777.61","Benches","","",""
"34D","17-18","3","Buckets ","200000","Dustbin/Buckets","","",""
"34D","17-18","4","Buckets ","200000","Dustbin/Buckets","","",""
"34D","17-18","5","various works related to painting work & repair of gate at Chatrapati Shivaji Maharaj Sabhagruha near sun city, ","165387.3","Fencing","","",""
"34D","17-18","6","various works related to painting work & repair of gate at Chatrapati Shivaji Maharaj Sabhagruha near sun city, ","154317.61","Colouring","","",""
"34D","17-18","7","removal of debaries at various places.","152674.88","Cleaning","","",""
"34D","17-18","8","development & repairwork of footpath ","127356.59","Footpath","","",""
"34D","17-18","9","Various work related to Drainage","161582.22","Drainage","Resolved","final cost is not mentioned","Done "
"34D","17-18","10","concreting of side patta at various places ","148836.1","Traffic","Resolved","final cost is not mentioned","Done "
"34D","17-18","11","various work related to electrification","129345.5","Electrification","","",""
"34D","17-18","12","various work related to electrification","128436.02","Electrification","","",""
"34D","17-18","13","various work related to electrification","175920.53","Electrification","","",""
"","","","","","","","",""
"30A","18-19","1","Road ","99182.3","Road","","",""
"30A","18-19","2","Road ","97688.48","Road","","",""
"30A","18-19","3","Road ","98567.6","Road","","",""
"30A","18-19","4","road ","98956.54","Road","","",""
"30A","18-19","5","Drainage ","197854.83","Drainage","","",""
"30A","18-19","6","Toilet","195443.43","Toilet","","",""
"30A","18-19","7","Drainage ","196877.78","Drainage","","",""
"30A","18-19","8","bags","200000","Bags","","",""
"30A","18-19","9","school repair ","193924","Buildings","","",""
"30A","18-19","10","road ","197668.82","Road","","",""
"30A","18-19","11","Footpath","192103.44","Footpath","","",""
"30A","18-19","12","Cleaning ","182539.23","Cleaning","","",""
"30A","18-19","13","Development work ","200000","Development work","","",""
"","","","","","","","",""
"30B","18-19","1","Electrification ","132753.57","Electrification","","",""
"30B","18-19","2","Electrification ","132753.58","Electrification","","",""
"30B","18-19","3","Bags","200000","Bags","","",""
"30B","18-19","4","road","196955.68","Road","","",""
"30B","18-19","5","Road","197520.56","Road","","",""
"30B","18-19","6","Road ","197382.21","Road","","",""
"30B","18-19","7","toilet","195634.5","Toilet","","",""
"30B","18-19","8","Concretization","191488","Concretization","","",""
"30B","18-19","9","drainage","196902.02","Drainage","","",""
"30B","18-19","10","drainage","200000","Drainage","","",""
"","","","","","","","",""
"30C","18-19","1","Bags","200000","Bags","","",""
"30C","18-19","2","Bags","200000","Bags","","",""
"30C","18-19","3","Toilet","157459.22","Toilet","","",""
"30C","18-19","4","Paverblock","187524.63","Pavement blocks","","",""
"30C","18-19","5","Radaroda ","192936.79","Cleaning","","",""
"30C","18-19","6","Radaroda ","193916.17","Cleaning","","",""
"30C","18-19","7","Toilet","197898.52","Toilet","","",""
"30C","18-19","8","Fire brigade","200000","Fire Brigade","","",""
"30C","18-19","9","Drainage ","166850.01","Drainage","","",""
"30C","18-19","10","Concretization","166541.82","Concretization","","",""
"30C","18-19","11","Drainage ","200000","Drainage","","",""
"30C","18-19","12","pavement block ","168659.54","Pavement blocks","","",""
"30C","18-19","13","Development work ","197479.24","Development work","","",""
"30C","18-19","14","Development work ","197024.01","Development work","","",""
"","","","","","","","",""
"33A","18-19","1","Bags ","200000","Bags","","",""
"33A","18-19","2","Bags ","200000","Bags","","",""
"33A","18-19","3","Bags ","200000","Bags","","",""
"33A","18-19","4","Road","92836.45","Road","","",""
"33A","18-19","5","Ganapati Visarjan ","153830.4","Ganeshotsav","","",""
"33A","18-19","6","Gym","200000","Gym","","",""
"33A","18-19","7","Development ","199926.94","Development work","","",""
"33A","18-19","8","Benches ","200000","Benches","","",""
"","","","","","","","",""
"33B","18-19","1","Benches","191328.61","Benches","","",""
"33B","18-19","2","Radaroda ","146471.44","Cleaning","","",""
"33B","18-19","3","Nameplate ","168752","Nameplates","","",""
"33B","18-19","4","benches","200000","Benches","","",""
"33B","18-19","5","drainage","163461.88","Drainage","","",""
"33B","18-19","6","bags","200000","Bags","","",""
"33B","18-19","7","bucket","200000","Dustbin/Buckets","","",""
"33B","18-19","8","electrification","132746.57","Electrification","","",""
"","","","","","","","",""
"33C","18-19","1","Side bars on road ","197627.26","Traffic","","",""
"33C","18-19","2","Benches","157380.18","Benches","","",""
"33C","18-19","3","Road","176448.69","Road","","",""
"33C","18-19","4","Radaroda","156266.37","Cleaning","","",""
"33C","18-19","5","concretization","198053.99","Concretization","","",""
"33C","18-19","6","thermoplastic paint ","153817.66","Traffic","","",""
"33C","18-19","7","Bags ","200000","Bags","","",""
"33C","18-19","8","Bags ","200000","Bags","","",""
"","","","","","","","",""
"33D","18-19","1","Bags ","200000","Bags","","",""
"33D","18-19","2","Road","172395.83","Road","","",""
"33D","18-19","3","Fencing ","193804.49","Fencing","","",""
"33D","18-19","4","Fencing ","189857.49","Fencing","","",""
"33D","18-19","5","Fencing ","189479.36","Fencing","","",""
"33D","18-19","6","Nameplate","191494.77","Nameplates","","",""
"33D","18-19","7","Drainage ","174468.41","Drainage","","",""
"33D","18-19","8","Virangula kendra ","100000","Buildings","","",""
"33D","18-19","9","Toilet stuff","178560","Cleaning","","",""
"33D","18-19","10","Providing files and packets ","200000","Development work","","",""
"","","","","","","","",""
"34A","18-19","1","Nameplates ","159601.62","Nameplates","","",""
"34A","18-19","2","Fencing ","173637.06","Fencing","","",""
"34A","18-19","3","Buckets","100000","Dustbin/Buckets","","",""
"34A","18-19","4","Buckets","200000","Dustbin/Buckets","","",""
"34A","18-19","5","Buckets","200000","Dustbin/Buckets","","",""
"34A","18-19","6","Buckets","200000","Dustbin/Buckets","","",""
"34A","18-19","7","Buckets","200000","Dustbin/Buckets","","",""
"34A","18-19","8","Bags","200000","Bags","","",""
"34A","18-19","9","Bags","200000","Bags","","",""
"34A","18-19","10","Thermoplastic paint ","156344.22","Traffic","","",""
"","","","","","","","",""
"34B","18-19","1","work related to Arogya kothi ","150273.84","Buildings","","",""
"34B","18-19","2","Road crossing ","187769.02","Traffic","","",""
"34B","18-19","3","Buckets ","200000","Dustbin/Buckets","","",""
"34B","18-19","4","Buckets ","200000","Dustbin/Buckets","","",""
"34B","18-19","5","Buckets ","200000","Dustbin/Buckets","","",""
"34B","18-19","6","Benches ","200000","Benches","","",""
"34B","18-19","7","Benches ","200000","Benches","","",""
"34B","18-19","8","Benches ","200000","Benches","","",""
"","","","","","","","",""
"34C","18-19","1","Aarogya kothi work ","196568.16","Buildings","","",""
"34C","18-19","2","Bags","200000","Bags","","",""
"34C","18-19","3","Bags","200000","Bags","","",""
"","","","","","","","",""
"34D","18-19","1","Bags ","200000","Bags","","",""
"34D","18-19","2","Bags ","200000","Bags","","",""
"34D","18-19","3","nameplate","172234.1","Nameplates","","",""
"34D","18-19","4","Colouring work ","149181.38","Colouring","","",""
"34D","18-19","5","Drainage ","87967.6","Drainage","","",""
"34D","18-19","6","drainage ","154366.05","Drainage","","",""
"34D","18-19","7","Samaj mandir work ","149727.56","Buildings","","",""
"34D","18-19","8","Radaroda cleaning ","146622.24","Cleaning","","",""
"34D","18-19","9","electrification","160936.64","Electrification","","",""
"34D","18-19","10","electrification","132832.19","Electrification","","",""
"34D","18-19","11","electrification","99111.41","Electrification","","",""
"","","","","","","","",""
"30A","19-20","1","Road","98564.98","Road","","",""
"30A","19-20","2","Road","98888.38","Road","","",""
"30A","19-20","3","Road","98778.27","Road","","",""
"30A","19-20","4","Road","98694.28","Road","","",""
"30A","19-20","5","Road","98503.85","Road","","",""
"30A","19-20","6","Road","100000","Road","","",""
"30A","19-20","7","Road","98332.84","Road","","",""
"30A","19-20","8","Road","98972.13","Road","","",""
