"DHANKAWADI - SAHAKAR NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"35D","19-20","1","Supplying cloth bags","200000","Bags","No Issue","",""
"35D","19-20","2","Supplying cloth bags","200000","Bags","No Issue","",""
"35D","19-20","3","Supplying cloth bags","100000","Bags","No Issue","",""
"35D","19-20","4","Installation of GI line","199657.98","Water supply","No Issue","",""
"35D","19-20","5","Supplying gym items","197382.44","Gym","No Issue","",""
"35D","19-20","6","Road related work","198432.3","Road","No Issue","",""
"35D","19-20","7","Drainage related work","199846.08","Drainage","No Issue","",""
"35D","19-20","8","Water supply","186081.09","Water supply","Resolved","Used development work for now. Can someone double check?","Pani Purawtha- Water supply"
"39A","19-20","1","Electricity related work","196996.06","Electrification","No Issue","",""
"39A","19-20","2","Supplying cloth bags","200000","Bags","No Issue","",""
"39A","19-20","3","Supplying cloth bags","200000","Bags","No Issue","",""
"39A","19-20","4","Vehicles related work","99027.59","Traffic","No Issue","",""
"39A","19-20","5","Fencing related work and sign boards","199811.21","Fencing","No Issue","",""
"39A","19-20","6","Drainage related work","199530.08","Drainage","No Issue","",""
"39A","19-20","7","Drainage repairing work","199638.33","Drainage","No Issue","",""
"39A","19-20","8","Supplying cloth bags","100000","Bags","No Issue","",""
"39B","19-20","1","Paving block footpath related work","197003.87","Pavement blocks","No Issue","",""
"39B","19-20","2","Installation of rainwater lines","199008.59","Drainage","No Issue","",""
"39B","19-20","3","Paving block footpath related work","174042.39","Footpath","No Issue","",""
"39B","19-20","4","Installation of drainage lines","199843.09","Drainage","No Issue","",""
"39B","19-20","5","Cleaning of drainage lines","199867.86","Drainage","No Issue","",""
"39B","19-20","6","Concrete related work in lanes","174298.41","Concretization","No Issue","",""
"39B","19-20","7","Installation of paving blocks","173939.98","Pavement blocks","No Issue","",""
"39B","19-20","8","Supplying cloth bags","200000","Bags","No Issue","",""
"39B","19-20","9","Supplying cloth bags","100000","Bags","No Issue","",""
"39C","19-20","1","CCTV camera installation","191647.02","CCTV","No Issue","",""
"39C","19-20","2","Road concretization","99698.09","Concretization","No Issue","",""
"39C","19-20","3","Chamber alignment and repairing","196756.85","Drainage","No Issue","",""
"39C","19-20","4","road and Footpath repairing","197150.46","Road","No Issue","",""
"39C","19-20","5","road and Footpath repairing","189956.55","Road","No Issue","",""
"39D","19-20","1","Adding nameplates and other dev work in virangula kendra","198882.32","Buildings","No Issue","",""
"39D","19-20","2","Adding nameplates and other work in various buildings","99112.64","Buildings","No Issue","",""
"39D","19-20","3","Development work in virangula kendra for elderly people","99701.52","Buildings","No Issue","",""
"39D","19-20","4","Making new virangula kendra for elder people","199468.75","Buildings","No Issue","",""
"39D","19-20","5","Decoration work for elderly people","199897.6","Decoration","No Issue","",""
"40A","19-20","1","Wooden benches installation","200000","Benches","No Issue","",""
"40A","19-20","2","Installing sign boards","197506.34","Nameplates","No Issue","",""
"40A","19-20","3","Wooden benches installation","195428.04","Benches","No Issue","",""
"40A","19-20","4","Adding thermoplastic paint at some places","197588.16","Traffic","No Issue","",""
"40A","19-20","5","Architecture related work","191168.11","Buildings","No Issue","",""
"40A","19-20","6","Supplying cloth bags","200000","Bags","No Issue","",""
