"NAGAR ROAD- VADGAON SHERI","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","0","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","",""
"5D","17-18","2","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","192000","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","3","Benches","198000","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","4","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","145000","Nameplates","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","5","Drainage works","179000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","6","Drainage cleaning","169000","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","7","Picking of radar waste","127000","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","8","Furniture works, curtains etc.","156000","Furniture","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","176000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5D","17-18","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","176000","Road","No Issue","","","","","","","","","","","","","","","","","",""
"5A","17-18","1","Drainage works","115367.15","Drainage","Resolved","Data from a completely separate sheet; needs verification.","Verified- Tanmay","","","","","","","","","","","","","","","",""
"5A","17-18","2","Drainage works","163402.84","Drainage","Resolved","Data from a completely separate sheet; needs verification.","Verified- Tanmay","","","","","","","","","","","","","","","",""
"5D","17-18","6","Drainage works","199000","Drainage","Resolved","Data from a completely separate sheet; needs verification.","Verified- Tanmay","","","","","","","","","","","","","","","",""
"3A","18-19","1","Distributing Dustbins/buckets","199987.2","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","2","Distributing Dustbins/buckets","199920","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","3","Slogans painting","191679.87","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","4","Footpaths / pedestrian crossings","187424.54","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","5","Footpaths / pedestrian crossings","189629.54","Footpath","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","6","Drainage works","197530.49","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","7","Chamber related work","196956.08","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","8","Drainage works","197530.49","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199981.6","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3A","18-19","10","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199291.01","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","1","Jute bags/ cloth/ canvas bags etc.","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","2","Jute bags/ cloth/ canvas bags etc.","200000","Bags","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","3","Road decoration","173187.94","Decoration","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","4","Benches","65918.72","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","5","Benches","181276.48","Benches","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","6","Drainage works","197530.49","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","7","Drainage works","197710.05","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","8","Road Construction / Colouring Roads / Railing Work / Speed Breaker","197225.09","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","9","Road Construction / Colouring Roads / Railing Work / Speed Breaker","197767.88","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3B","18-19","10","Distributing Dustbins/buckets","200000","Dustbin/Buckets","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","1","Road Construction / Colouring Roads / Railing Work / Speed Breaker","169375.86","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","86259.9","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","3","Road Construction / Colouring Roads / Railing Work / Speed Breaker","168002.81","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","4","Road Construction / Colouring Roads / Railing Work / Speed Breaker","168198.9","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3C","18-19","5","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199950.24","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","1","Water pipelines, repairing etc.","159513.9","Water supply","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","2","Road Construction / Colouring Roads / Railing Work / Speed Breaker","199984","Road","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","3","Picking of radar waste","159744","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","4","Drainage works","161273.2","Drainage","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","5","Picking of radar waste","200000","Cleaning","No Issue","","","","","","","","","","","","","","","","","",""
"3D","18-19","6","Pavement Blocks / Grouting / Laying tiles","200000","Pavement blocks","No Issue","","","","","","","","","","","","","","","","","",""
