"KASBA - VISHRAMBAUG WADA","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","20","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"15B","17-18","65","Drainage line installation","999000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","66","Drainage line installation","981000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","67","Drainage line installation","949000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","68","Drainage line installation","871000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","69","Drainage line installation","871000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","70","Drainage line installation","871000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","71","Drainage maintainence works and Chamber levelling","949000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","72","Drainage maintainence works and Chamber levelling","916000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","73","Drainage maintainence works and Chamber levelling","987000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","74","Drainage maintainence works and Chamber levelling","878000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","75","Cleaning drainage line","822000","Drainage","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","76","Electrification","1000000","Electrification","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","77","Electrification","1000000","Electrification","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","78","Electrification","1000000","Electrification","","","","","","","","","","","","","","","","","","","",""
"15B","17-18","79","","","","","","","","","","","","","","","","","","","","","","",""
"15C","17-18","80","Electric and telephone poles removal","718000","Electrification","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","81","Concentrization","919000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","82","Concentrization","787000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","83","Concentrization","945000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","84","Concentrization","849000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","85","Concentrization","919000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","86","Concentrization","919000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","87","Concentrization","787000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","88","Concentrization","797000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","89","Concentrization","807000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","90","Concentrization","884000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","91","Concentrization","884000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","92","Concentrization","787000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","93","Concentrization","977000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","94","Concentrization","949000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","95","Concentrization","949000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","96","Concentrization","909000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","97","Concentrization","906000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","98","Concentrization","837000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","99","Concentrization","919000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","100","Concentrization","919000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","101","Road Construction","787000","Road","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","102","Footpath repairs","943000","Footpath","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","103","Footpath repairs","899000","Footpath","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","104","Footpath repairs","818000","Footpath","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","105","Construction of footpath","424000","Footpath","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","106","Development of footpath","799000","Footpath","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","107","Concentrization","471000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","108","Concentrization","977000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","109","Concentrization","919000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","110","Concentrization","919000","Concretization","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","111","Decoration and Developmental works","1000000","Decoration","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","112","Developmental works at samaaj mandir","500000","Buildings","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","113","Developmental works","1000000","Development work","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","114","Bus stop construction","1000000","BusStop","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","115","Developmental works","719000","Development work","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","116","Developmental works","1000000","Development work","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","117","","817000","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","118","","929000","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","119","","817000","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","120","","562000","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","121","","775000","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","122","","652000","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","123","","572000","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","124","","799000","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","125","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","126","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","127","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","128","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","129","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","130","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","131","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","132","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","133","","","","","","","","","","","","","","","","","","","","","","",""
"15D","17-18","134","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","1","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","2","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","3","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","4","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","5","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","6","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","7","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","8","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","9","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","10","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","11","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","12","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","13","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","14","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","15","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","16","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","17","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","18","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","19","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","20","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","21","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","22","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","23","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","24","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","25","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","26","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","27","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","28","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","29","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","30","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","31","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","32","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","33","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","34","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","35","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","36","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","37","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","38","","","","","","","","","","","","","","","","","","","","","","",""
"15A","18-19","39","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","1","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","2","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","3","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","4","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","5","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","6","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","7","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","8","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","9","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","10","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","11","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","12","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","13","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","14","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","15","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","16","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","17","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","18","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","19","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","20","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","21","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","22","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","23","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","24","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","25","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","26","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","27","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","28","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","29","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","30","","","","","","","","","","","","","","","","","","","","","","",""
"15B","18-19","31","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","1","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","2","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","3","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","4","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","5","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","6","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","7","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","8","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","9","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","10","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","11","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","12","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","13","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","14","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","15","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","16","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","17","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","18","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","19","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","20","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","21","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","22","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","23","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","24","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","25","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","26","","","","","","","","","","","","","","","","","","","","","","",""
"15C","18-19","27","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","1","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","2","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","3","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","4","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","5","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","6","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","7","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","8","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","9","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","10","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","11","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","12","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","13","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","14","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","15","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","16","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","17","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","18","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","19","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","20","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","21","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","22","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","23","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","24","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","25","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","26","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","27","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","28","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","29","","","","","","","","","","","","","","","","","","","","","","",""
"15D","18-19","30","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","1","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","2","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","3","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","4","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","5","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","6","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","7","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","8","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","9","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","10","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","11","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","12","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","13","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","14","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","15","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","16","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","17","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","18","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","19","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","20","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","21","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","22","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","23","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","24","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","25","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","26","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","27","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","28","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","29","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","30","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","31","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","32","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","33","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","34","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","35","","","","","","","","","","","","","","","","","","","","","","",""
"15A","19-20","36","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","37","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","1","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","2","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","3","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","4","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","5","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","6","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","7","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","8","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","9","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","10","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","11","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","12","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","13","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","14","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","15","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","16","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","17","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","18","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","19","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","20","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","21","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","22","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","23","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","24","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","25","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","26","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","27","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","28","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","29","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","30","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","31","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","32","","","","","","","","","","","","","","","","","","","","","","",""
"15B","19-20","33","","","","","","","","","","","","","","","","","","","","","","",""
