"DHANKAWADI - SAHAKAR NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","10","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"35B","21-22","61","Electrical polls, cables etc","900000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","62","Underground electric cable","900000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","63","Road ","900000","Road","No Issue","","","","","","","","","","","","","","","","","","",""
"35B","21-22","64","Road","900000","Road","No Issue","","","","","","","","","","","","","","","","","","",""
"35C","21-22","65","Road development","270000","Road","No Issue","","","","","","","","","","","","","","","","","","",""
"35C","21-22","66","Chainlink fencing","270000","Fencing","No Issue","","","","","","","","","","","","","","","","","","",""
"35C","21-22","67","Toilet repairs","270000","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","68","Construct Samaj Mandir","900000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","69","Construct Samaj Mandir","900000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","70","Construct Samaj Mandir","900000","Buildings","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","71","Library development","900000","Library","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","72","Cable work","900000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","73","Electricity polls","900000","Electrification","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","74","Toilets","450000","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","75","Chamber repairs","10,000,00","Cleaning","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","76","Development work","10,000,00","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","77","Construct kattas around trees","10,000,00","Development work","Open","Is it 'Benches' code?","","","","","","","","","","","","","","","","","",""
"35A","21-22","78","Foothpath work","10,000,00","Footpath","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","79","Development work","10,000,00","Development work","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","80","Drainage line","10,000,00","Drainage","No Issue","","","","","","","","","","","","","","","","","","",""
"35A","21-22","81","Toilet repairs","10,000,00","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
"35D","21-22","82","Toilet","500000","Toilet","No Issue","","","","","","","","","","","","","","","","","","",""
