"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","273","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","17-18","68","concretization","281000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","69","concretization","280000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","70","traffic related","202000","Traffic","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","71","drainage line","301000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","72","drainage line","167000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","73","toilet ","211000","Toilet","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","74","drainage line","236000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","17-18","75","drainage line","208000","Drainage","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","",""
"7","18-19","1","school repair","761000","Education","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","2","concretization","512000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","3","concretization","760000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","4","foothpath","407000","Footpath","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","5","repair the foothpath","280000","Footpath","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","6","make the cement road","491000","Road","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","7","concretization","794000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","8","concretization","406000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","9","concretization","843000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","10","concretization","610000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
"7","18-19","11","concretization","822000","Concretization","Open","A,B,C,D are not mention in ward no.","","","","","","","","","","","","","","","","","",""
