"38A","18-19","33","Road Pavering","989368.78","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"38A","18-19","34","Roads Development","864424.89","Road","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","35","Concretization","934605.54","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","36","Concretization","871710.57","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","37","Concretization","938679.37","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","38","Concretization","958906.87","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","39","Concretization","958445.73","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","40","Concretization","975396.38","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","41","Concretization","953929.58","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","42","Concretization","976954.39","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","43","Concretization","697359.16","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","44","Concretization","966804.72","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","45","Concretization","973048.37","Concretization","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","46","Footpath related works","308997.84","Footpath","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","47","Blocks repair","958445.73","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","48","Flooring","97852.33","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"38B","18-19","49","Flooring","981361.28","Pavement blocks","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","50","Concretization","979465.74","Concretization","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","51","Concretization","838287.01","Concretization","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","52","Concretization","982086.73","Concretization","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","53","Concretization","994788","Concretization","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","54","Concretization","903591","Concretization","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","55","Concretization","989605.22","Concretization","","","","","","","","","","","","","","","","","","","",""
"38C","18-19","56","Thermoplastic paints and Traffic related works","859325.23","Traffic","","","","","","","","","","","","","","","","","","","",""
