"AUNDH - BANER","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","5","","","","","","","","","","","","","","","","","","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment","","","","","","","","","","","","","","","","",""
"8B","18-19","9","Making coal tar roads ","880700.28","Road","","","","","","","","","","","","","","","","","","","",""
"8B","18-19","10","Making coal tar roads ","668939.78","Road","","","","","","","","","","","","","","","","","","","",""
"8B","18-19","11","Repairing footpath","136844.37","Footpath","","","","","","","","","","","","","","","","","","","",""
"8B","18-19","12","Making and repairing footpath","784707.84","Footpath","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","13","Making coal tar roads ","889744.28","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","14","Making coal tar roads ","881079.64","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","15","Making coal tar roads ","888997.51","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","16","Making coal tar roads ","882423.16","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","17","Work related to road","749404.8","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","18","Making coal tar roads ","863133.84","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","19","Making coal tar roads ","863133.84","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","20","Making coal tar roads ","862938.47","Road","Open","Expense entry is identical to the previous one, may have been recorded twice","","","","","","","","","","","","","","","","","",""
"8C","18-19","21","Making coal tar roads ","882430.2","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","22","Making coal tar roads ","270162.74","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","23","Making coal tar roads ","863107.8","Road","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","24","Making footpaths","692919.5","Footpath","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","25","Making footpaths","836936.97","Footpath","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","26","Making footpaths","671736","Footpath","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","27","Making footpaths","832533.78","Footpath","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","28","Making footpaths","783184.45","Footpath","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","29","Cleaning radaroda, providing JCB","899463.59","Cleaning","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","30","Concretization of roads ","898053","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","31","Concretization of roads ","975371.75","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","32","Concretization of roads ","842433.36","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","33","Concretization of roads ","844749.61","Concretization","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","34","Painting road divider ","721189.65","Colouring","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","35","Putting rain water line ","794899.18","Rain Water Harvesting","","","","","","","","","","","","","","","","","","","",""
"8C","18-19","36","Putting rain water line ","767417.26","Rain Water Harvesting","","","","","","","","","","","","","","","","","","","",""
"8D","18-19","37","Work related to footpath","838250.22","Footpath","","","","","","","","","","","","","","","","","","","",""
"8D","18-19","38","Concretization of roads ","381211.85","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","18-19","39","Trimix concretization of roads ","788836.75","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","18-19","40","Trimix concretization of roads ","850000","Concretization","","","","","","","","","","","","","","","","","","","",""
"8D","18-19","41","Trimix concretization of roads ","800000","Concretization","","","","","","","","","","","","","","","","","","","",""
